CUSTOMER_ID,CUSTOMER_NAME,AGE,MARITAL_STATUS,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,TENURE,SSN,STATE,IS_FRAUD
CUST00001,Customer_1,23,Divorced,Employed,4,Rented,Lower,None,5,627-60-5949,OH,0
CUST00002,Customer_2,77,Divorced,Unemployed,6,Owned,Middle,High School,5,819-97-3135,IL,0
CUST00003,Customer_3,50,Married,Unemployed,3,Leased,Lower,Master,13,115-67-1994,WA,0
CUST00004,Customer_4,79,Married,Retired,6,Owned,Middle,Bachelor,19,484-92-6963,MI,0
CUST00005,Customer_5,43,Single,Unemployed,1,Rented,Middle,PhD,18,942-12-7358,GA,1
CUST00006,Customer_6,69,Married,Unemployed,3,Leased,Lower,PhD,3,381-16-3765,MI,0
CUST00007,Customer_7,38,Single,Self-Employed,2,Rented,Lower,High School,13,939-47-9257,NY,0
CUST00008,Customer_8,45,Married,Self-Employed,1,Rented,Lower,Master,15,202-68-4929,TX,0
CUST00009,Customer_9,39,Widowed,Self-Employed,4,Owned,Lower,Bachelor,1,369-58-6526,OH,1
CUST00010,Customer_10,51,Single,Retired,7,Rented,Middle,None,13,123-68-3707,CA,0
CUST00011,Customer_11,31,Divorced,Self-Employed,2,Owned,Lower,Bachelor,9,822-25-3572,WA,0
CUST00012,Customer_12,49,Single,Retired,7,Owned,Middle,High School,4,973-31-2171,TX,0
CUST00013,Customer_13,70,Divorced,Self-Employed,6,Leased,Upper,PhD,16,594-65-6099,MI,0
CUST00014,Customer_14,27,Married,Unemployed,7,Rented,Middle,None,18,461-19-3585,GA,0
CUST00015,Customer_15,67,Divorced,Self-Employed,1,Rented,Middle,None,12,150-86-3336,FL,0
CUST00016,Customer_16,70,Married,Self-Employed,7,Leased,Upper,High School,4,697-33-6582,OH,0
CUST00017,Customer_17,20,Widowed,Retired,3,Leased,Middle,PhD,9,182-18-3844,OH,0
CUST00018,Customer_18,59,Divorced,Unemployed,5,Owned,Middle,Bachelor,10,332-38-3488,NC,1
CUST00019,Customer_19,48,Divorced,Self-Employed,3,Leased,Middle,High School,18,724-48-2386,IL,0
CUST00020,Customer_20,57,Divorced,Self-Employed,4,Leased,Middle,Master,16,928-66-4632,OH,0
CUST00021,Customer_21,36,Widowed,Retired,4,Owned,Middle,None,13,558-39-4536,IL,0
CUST00022,Customer_22,31,Divorced,Employed,6,Leased,Middle,None,15,163-83-4464,CA,0
CUST00023,Customer_23,35,Single,Retired,3,Owned,Lower,PhD,14,725-14-1824,NC,0
CUST00024,Customer_24,27,Single,Unemployed,1,Owned,Middle,Master,7,428-13-9709,FL,0
CUST00025,Customer_25,43,Divorced,Self-Employed,5,Owned,Middle,Master,3,135-59-4157,FL,0
CUST00026,Customer_26,72,Married,Unemployed,6,Leased,Lower,Bachelor,16,287-22-3692,NY,0
CUST00027,Customer_27,66,Divorced,Retired,1,Rented,Lower,High School,11,146-60-3112,OH,0
CUST00028,Customer_28,29,Divorced,Self-Employed,6,Rented,Middle,Master,19,117-20-9095,NC,1
CUST00029,Customer_29,52,Single,Self-Employed,6,Owned,Upper,High School,13,315-61-4686,MI,0
CUST00030,Customer_30,22,Divorced,Retired,5,Owned,Middle,High School,10,542-86-7445,OH,0
CUST00031,Customer_31,21,Widowed,Self-Employed,7,Rented,Lower,PhD,13,595-27-8647,NY,0
CUST00032,Customer_32,56,Married,Retired,3,Owned,Lower,None,13,119-59-6536,WA,0
CUST00033,Customer_33,36,Widowed,Retired,1,Rented,Lower,PhD,19,950-24-3599,IL,0
CUST00034,Customer_34,61,Widowed,Unemployed,5,Rented,Lower,None,7,111-31-9359,TX,0
CUST00035,Customer_35,27,Married,Employed,5,Owned,Middle,Master,8,107-80-9413,MI,0
CUST00036,Customer_36,25,Widowed,Employed,7,Rented,Middle,PhD,7,202-42-9066,WA,0
CUST00037,Customer_37,62,Widowed,Self-Employed,2,Owned,Upper,Bachelor,3,747-16-8790,FL,1
CUST00038,Customer_38,30,Widowed,Employed,2,Owned,Middle,Master,9,821-37-4729,FL,0
CUST00039,Customer_39,21,Married,Retired,5,Owned,Middle,High School,9,374-56-8014,NY,0
CUST00040,Customer_40,66,Divorced,Unemployed,3,Owned,Upper,PhD,4,700-96-1888,NY,0
CUST00041,Customer_41,61,Divorced,Self-Employed,2,Leased,Middle,Master,16,930-90-4439,TX,0
CUST00042,Customer_42,75,Married,Retired,5,Owned,Lower,Master,14,229-30-9473,CA,0
CUST00043,Customer_43,55,Divorced,Employed,2,Owned,Upper,None,5,108-18-1651,TX,0
CUST00044,Customer_44,47,Widowed,Unemployed,6,Rented,Lower,High School,4,254-80-1517,FL,0
CUST00045,Customer_45,59,Single,Self-Employed,3,Leased,Lower,Master,12,967-45-5785,TX,0
CUST00046,Customer_46,67,Widowed,Employed,5,Rented,Middle,Bachelor,1,631-82-6625,TX,0
CUST00047,Customer_47,57,Married,Self-Employed,5,Rented,Upper,PhD,3,154-83-1793,WA,0
CUST00048,Customer_48,37,Widowed,Employed,5,Leased,Middle,PhD,9,575-87-5590,FL,0
CUST00049,Customer_49,73,Single,Employed,3,Rented,Lower,PhD,19,476-39-8066,MI,0
CUST00050,Customer_50,61,Widowed,Employed,1,Rented,Middle,None,2,685-82-9175,OH,1
CUST00051,Customer_51,72,Married,Employed,5,Rented,Upper,Bachelor,11,632-41-6339,IL,0
CUST00052,Customer_52,52,Widowed,Unemployed,4,Leased,Middle,Bachelor,11,420-28-4089,NC,1
